product_id,os,storage,aspect,resolution,colour
1002695120,4,2,2,3,3
2959700788,4,2,2,4,1
1600602950,4,2,2,3,4
201284486,4,3,3,3,3
1310913402,4,1,2,3,2
2024323797,4,1,2,3,4
2911975076,4,2,2,4,1
368242302,4,2,3,3,5
1894210451,4,1,2,3,4
4035270130,4,4,3,5,2
3215197978,4,1,2,3,1
439215848,4,3,1,3,3
4186178111,4,2,2,3,1
587549418,2,1,2,3,3
3159116670,3,2,1,3,3
1721589842,4,1,1,3,1
1570144865,4,1,1,3,5
2828721156,4,3,2,3,4
1494569,3,1,2,3,5
4109577261,4,2,2,4,4
4216576997,2,2,3,3,3
863448754,3,4,2,4,2
3259389201,3,1,3,3,4
2278884791,4,1,1,5,2
1379106673,4,2,1,3,4
3851292905,4,1,1,4,4
3742060936,2,3,3,3,5
3614149178,4,1,2,3,3
899653261,3,2,1,4,3
141446058,4,3,2,3,1
16279536,4,2,1,3,1
4130848552,3,2,3,3,1
3471741932,2,4,2,3,4
2343365962,4,2,1,4,2
1010200846,4,2,3,3,4
2446048952,4,2,3,3,2
3793175392,2,3,1,3,5
2125786871,4,3,2,3,1
2493314018,4,1,2,4,4
1609433590,4,2,3,5,5
1371268907,2,2,3,3,5
3420324354,4,1,2,3,5
965643903,4,1,2,3,5
734676532,3,1,1,4,5
1529799625,4,2,2,4,2
1306442211,4,2,2,4,2
1948863406,2,4,3,3,5
3420808699,4,4,1,5,4
313609877,4,4,3,4,3
754711402,4,2,1,4,3
3797276055,4,3,2,3,2
1064815809,4,1,1,5,2
1361112327,4,2,3,4,4
2845324549,3,4,1,4,5
2942006203,4,2,2,5,5
2547388394,4,1,3,3,2
1837380168,4,4,2,4,3
1931748254,2,2,1,3,2
1529000810,4,3,1,4,1
115239179,4,1,2,3,5
337393328,4,1,1,4,4
1891761436,4,2,1,4,3
592780173,4,3,3,3,4
565829889,4,4,2,3,1
2018530951,4,1,2,4,4
3240694193,4,1,2,4,3
2298655886,4,2,2,5,1
68228135,4,1,3,3,3
147787027,4,2,1,3,4
208989523,4,1,1,5,3
545339980,4,3,1,3,1
543357643,4,1,3,3,1
3300824591,4,2,3,3,3
695212633,4,2,1,3,5
3006220872,4,2,2,3,4
299052054,4,1,2,4,1
1149006245,4,1,3,3,2
1348415597,4,1,1,4,1
3410711550,2,1,2,3,5
3176494365,4,1,3,3,4
422149639,3,1,3,3,2
2181318975,4,4,2,4,5
4063558661,4,2,2,4,2
1852757949,4,1,1,3,4
1441907202,4,2,2,3,3
243913087,4,3,2,3,5
1942360987,3,1,3,3,4
1618409591,4,2,2,3,2
4168655920,2,2,2,3,4
3967282118,4,1,3,3,3
3775597078,4,2,2,3,2
3901645009,4,4,2,5,5
3795934157,4,2,1,3,1
4129490008,4,2,2,4,2
635316936,2,3,2,3,4
636559836,3,3,3,3,5
1610786665,4,3,1,3,4
296661268,2,3,3,3,5
217821001,4,2,1,5,5
3414368185,4,1,1,3,5
1968486604,4,1,1,3,2
3675897269,4,3,1,3,2
3691534831,4,1,1,4,1
458655838,4,3,2,3,5
2074232902,2,3,1,3,3
3581520895,4,3,1,4,1
106276417,4,1,1,4,5
1099363094,4,2,3,3,5
3611514910,4,3,2,3,3
4183480131,4,3,2,3,4
1595592316,4,4,3,3,1
1239609764,4,3,1,4,2
2067750210,4,2,2,3,4
472392877,4,3,2,3,5
2464344784,4,1,3,3,3
2241345856,4,3,3,3,4
3715971716,3,2,1,3,5
135765666,4,2,3,3,3
