product_id,os,storage,aspect,resolution,camera,colour
2327563541,1,4,5,2,1,3
537236886,2,1,5,2,2,3
2720966120,1,1,4,2,3,4
663660348,1,2,5,2,3,1
4049757997,1,3,5,2,2,2
268768899,2,1,5,2,2,4
931611274,1,2,5,2,3,1
4289696940,1,3,5,1,1,4
1184804528,1,3,4,2,3,3
204633883,1,2,4,1,1,3
2787578466,1,1,5,2,2,4
9429896,2,1,5,2,2,2
3830134185,1,2,5,2,2,2
2147070490,1,2,4,2,1,1
3438080922,2,3,4,2,3,5
3918785220,1,2,5,2,3,4
423153017,1,2,5,1,3,5
4147271093,1,1,4,2,1,4
4067888020,1,3,5,2,2,2
2780366704,1,2,5,1,1,1
3366598227,1,1,5,1,2,3
3048678437,1,3,4,2,3,5
2405993027,1,1,5,2,2,2
404352661,1,3,4,2,3,2
3373425982,2,2,4,2,1,2
180447220,1,2,4,2,2,1
2864438174,1,2,4,2,3,2
809998866,2,2,5,1,2,3
975418125,2,1,4,1,3,3
71738671,1,1,5,2,3,1
2548693615,1,4,4,2,1,3
3693424201,1,1,5,1,3,5
1354796977,1,2,5,2,1,3
3027553057,1,2,4,1,2,3
2603867604,2,2,5,2,2,3
2104208482,2,1,5,2,3,4
4238735236,1,3,5,1,1,2
1011788438,2,2,5,2,2,2
1042383844,2,1,5,2,1,5
358850540,1,1,5,2,3,1
3557977972,2,1,5,1,3,5
2132186076,1,2,5,2,1,2
3873572020,1,1,5,1,1,2
2948975664,1,2,5,2,3,2
2277856065,1,2,5,2,2,1
1572915288,2,3,4,2,3,4
435469855,2,1,4,1,2,4
1741693934,1,1,4,2,1,2
3086423300,1,1,5,2,2,1
729936908,2,1,5,2,1,1
4116525777,2,1,4,1,1,4
116648865,2,3,4,2,1,2
1319305079,1,3,5,2,2,2
3190494661,1,1,5,2,3,4
3467876214,1,1,5,1,3,2
2619609610,1,2,4,2,3,4
201419330,1,3,5,2,3,1
2018165110,1,2,5,2,1,4
2956857840,1,1,5,1,3,3
1988612053,1,1,4,2,1,1
1505796841,1,1,4,2,2,2
4203074825,2,1,5,2,2,4
478304421,1,3,4,1,2,1
232197861,1,4,5,1,3,3
874979161,1,1,5,2,2,1
2908573461,2,4,5,1,3,2
2305884761,1,2,4,2,2,1
860665677,2,2,5,2,1,1
1585528425,1,1,4,2,3,5
3234573843,1,4,4,2,3,2
346461706,1,2,5,2,1,5
3885522425,1,3,5,1,3,4
2292209341,2,2,5,2,3,5
3663724035,1,1,5,2,1,5
396339614,1,2,5,2,2,5
1176120534,1,1,5,1,3,1
263053504,1,2,5,2,2,4
3448218754,1,2,4,2,3,2
1191717250,1,3,5,2,2,3
4284627550,1,1,5,1,2,3
4100735693,1,1,5,2,3,4
1583541053,1,2,5,2,3,3
354124116,1,3,4,2,3,1
1242550599,1,1,5,1,2,5
243017153,2,3,5,2,2,5
2097491168,1,2,5,2,2,3
512393493,1,1,4,2,1,4
75603283,2,3,5,1,3,4
3506674959,1,2,5,2,1,2
3737591613,1,1,5,1,2,3
4014708026,1,1,4,2,2,5
2645061935,2,2,5,2,3,2
1518317802,1,1,4,1,2,1
162752232,1,2,5,1,3,5
839371719,2,1,5,2,3,2
3112105041,1,2,5,2,3,4
971913233,1,3,5,1,1,5
3660127595,2,2,5,2,3,4
4024721769,1,1,5,2,1,4
248280684,1,1,5,2,2,2
4207086201,1,1,5,1,3,5
2870507978,1,1,5,2,2,2
3449496742,2,2,5,2,3,1
