product_id,storage,interface,colour
3240777110,3,2,1
1295903585,4,1,4
308342323,3,2,3
3642017410,2,2,5
739284125,1,3,2
1291109099,4,2,4
3665544146,4,2,4
1908525332,1,2,2
3038051008,3,2,1
3179716227,1,2,4
1226070821,4,2,3
2392951952,1,2,1
4147747222,3,1,3
45498513,4,2,2
4068268498,3,2,1
3155352812,1,2,1
3715301336,2,1,5
3882735449,1,1,3
2673250002,1,2,3
3803440182,4,3,5
3032829226,1,3,5
982753273,2,1,5
3505363356,3,1,3
764984794,4,3,3
3184032397,4,2,4
1800956584,1,3,1
2006955961,3,2,1
2037831561,3,1,5
2591073931,2,3,2
237570728,1,2,3
3366195483,3,2,3
3654948903,4,3,3
1643667030,4,2,3
583463188,4,1,4
2972052777,1,2,3
2429202594,4,1,1
1334601009,1,1,2
800647101,1,2,2
2880222389,3,2,2
2726465260,3,1,3
1598428290,1,2,2
3885703569,3,2,2
1917368732,4,2,3
2721052898,3,2,3
2699280476,3,2,4
4234055733,1,2,1
1668530446,1,1,5
2529268910,3,1,2
3491986826,1,2,5
2584941330,1,2,5
1615892554,1,1,2
3859065832,1,2,3
4042800132,2,1,5
264566034,2,2,2
2141212908,2,2,5
795558487,2,2,5
4193672217,4,1,3
4237765589,2,1,4
2102180311,4,1,3
993262693,3,3,3
2067112417,4,2,3
2199456010,2,1,2
4147524515,4,2,5
3670707680,2,1,4
1019087346,4,3,1
138687121,3,2,2
806138715,4,2,1
211597198,1,2,3
637455611,3,1,5
1867223163,4,2,4
2840989967,1,2,4
2245551231,4,2,5
2840517016,3,2,2
2884123157,2,2,5
3154442108,1,2,4
1363362081,4,3,4
2688034754,4,2,3
3786568475,2,2,3
352113323,3,2,1
2821404329,1,1,3
3939190487,4,2,4
3214664647,2,1,2
2890371710,2,2,5
131090733,2,2,1
2414324176,2,2,1
3416530845,3,3,4
3980316292,1,2,2
2732534940,3,2,1
3745407475,3,3,3
2056470065,4,2,5
2557053297,1,2,1
977995258,4,2,3
2010171378,2,3,2
2352124820,1,1,3
1826073897,2,2,1
348481136,1,3,5
2680602494,4,2,1
1512318997,3,3,2
1270625939,4,2,5
2789898047,4,3,3
2552468303,2,2,3
1013879205,4,2,4
135488631,2,3,4
3366701615,4,3,2
3846190985,4,1,4
4212638179,2,2,2
1152585443,2,2,5
1281289414,1,2,5
3986336868,3,2,4
957526181,4,1,4
2485083907,1,2,3
4059405464,1,2,1
2477071660,2,2,3
765104119,4,1,4
3840834714,4,2,4
507342664,4,2,2
1246352195,2,2,3
3065305685,4,2,3
2924000326,3,2,1
4244801257,1,1,2
405007648,2,2,4
363469858,1,2,2
3545072535,1,3,3
2119007557,4,2,5
2881231221,2,3,3
3581026961,1,2,2
2914449528,3,2,1
2099637622,2,1,5
2836785015,2,3,2
4134251558,2,2,5
2515022649,4,3,3
3651256614,3,2,1
2209211984,4,3,3
1090052638,2,2,5
1180866850,4,2,2
3050101712,1,2,2
872319884,4,2,3
2157376399,4,3,5
688927877,3,1,1
2706731371,3,1,2
3026875207,2,3,2
1957339218,2,3,2
3525082555,4,3,1
3898624282,2,3,1
1230911027,3,2,1
2137080536,1,2,3
4079918303,2,2,3
615982794,3,2,1
276879815,4,3,2
4110033092,3,1,4
644758816,4,2,2
3444255087,2,2,5
2918194630,4,2,4
1684504873,2,2,1
1846407620,1,2,2
2364774635,1,2,5
2812381946,3,3,2
2295649017,1,1,3
2668140352,3,2,4
328482941,4,3,1
94582860,4,2,2
1651392947,3,2,3
3591137326,2,2,5
3605042391,2,2,5
3375278783,2,2,4
2364149720,2,2,2
3411985172,3,2,4
3003057252,2,2,5
1664270385,1,3,3
1937462254,2,3,2
4077458242,3,2,5
358790713,3,2,2
1141117350,1,2,3
61199086,2,2,5
1106631573,4,2,5
1975009122,3,2,4
755421104,2,2,4
1424675306,3,2,2
2628660621,1,3,4
3611662729,1,1,3
2913821684,3,1,5
3821060365,1,1,5
2230058787,1,3,5
4074681631,4,2,3
1273942148,2,2,4
1408590136,4,2,2
3538795599,3,2,2
2541597140,1,2,2
3915945456,2,3,2
3747024157,4,2,4
2785614522,4,2,2
830993042,4,2,1
1509195414,1,3,2
364033570,2,2,1
389932742,4,3,1
4034254684,1,2,3
2048886911,4,3,3
2356518711,3,1,1
1523766257,2,2,3
1598059681,3,2,3
3857692114,3,2,2
2156565320,1,2,2
1502178737,3,2,2
1729222622,3,2,2
1787415754,4,2,1
2372479388,3,3,4
335934668,1,2,1
3246969909,3,2,3
3009704855,4,1,4
3812136853,2,2,3
1529861544,4,2,1
628858595,4,1,2
2714458121,1,1,2
2119139930,2,3,5
951492075,3,2,2
3060188197,4,2,4
1868914622,3,2,5
1667793565,1,2,1
2264856630,1,2,4
1194410723,4,2,1
1989552205,4,2,2
2470260134,1,3,5
795341116,3,3,4
3238198731,4,3,3
3667679467,2,2,3
376569457,4,2,2
1676528469,1,2,1
3693161294,3,2,2
2408003287,3,2,5
1821555726,1,2,3
248845738,1,1,2
3495101196,4,2,1
1754426056,1,2,5
2741203076,4,2,2
744545035,3,3,2
602071235,1,2,4
1996789788,1,3,1
1167341422,3,2,5
532010876,2,1,1
1575156381,2,3,1
531317187,1,3,5
3087993257,3,2,5
2482833449,4,2,5
2657026665,1,1,5
2237865509,2,3,4
1460107289,2,1,1
122162874,4,1,3
849312306,3,3,1
1812571372,2,1,2
1422393685,4,2,2
1083367788,1,2,3
1171483573,3,1,3
2849598647,4,2,1
160318348,4,2,2
2155608872,2,3,2
3538865588,2,2,1
1869443510,1,3,2
2995376785,2,2,5
1232459032,1,2,5
3992417052,2,3,1
3924149001,1,2,4
2742371718,4,1,4
3001584047,2,2,3
843386099,4,1,5
388659976,4,2,1
3019796502,1,2,1
1877239629,1,2,2
899808117,1,3,5
3523361193,4,2,2
756470660,1,2,1
1106016307,4,1,1
2992984997,2,2,1
184050079,4,2,5
2887796113,1,1,5
2341129609,2,1,5
593871873,2,2,3
3450962082,4,2,1
1102358884,2,3,2
3323877545,1,1,4
1299860830,1,2,2
1775117573,2,2,2
9039282,2,3,1
3677001161,4,2,3
2794573870,4,3,3
99773246,1,1,3
3958609005,2,1,3
2818959554,4,2,5
2188659170,2,3,3
464406298,4,3,1
2523797319,2,2,3
2808440489,2,2,4
1726201934,1,2,3
2326585706,4,2,3
782746607,3,2,4
2919630139,1,2,5
923254666,4,1,1
2228393207,2,2,1
3913490832,2,2,5
615296329,3,1,4
3216363283,1,2,5
1522574004,2,1,4
3763826606,3,2,1
4052071014,1,3,3
172203872,3,1,2
4145700297,1,1,2
3063420228,3,1,3
3702295405,2,1,4
1782986928,4,2,2
3369367529,2,1,3
3168651386,1,2,4
3313321630,1,2,5
1618190171,1,1,1
81401814,2,1,1
3787978617,3,1,5
1501445047,3,3,1
1789756432,4,2,2
4052363488,2,1,1
2366978544,1,2,1
3532775075,1,3,3
2070189001,1,2,1
201410551,2,1,4
2830620919,4,1,4
3982114870,4,2,2
3329541310,3,2,4
3403900743,4,2,2
2385315363,1,2,3
1917676331,3,1,3
3448398377,4,2,1
2890111933,1,2,4
1130595885,4,2,2
3111775150,4,2,4
817931658,1,3,2
1904114967,3,2,1
3135366590,4,3,1
560185231,3,2,4
1862641587,2,1,3
675393043,4,3,3
1617802609,3,3,3
2624670810,3,1,5
3118439620,2,3,2
2415181705,1,2,2
4274202085,1,3,4
1077722753,4,2,1
3595277941,2,3,5
508283772,4,3,2
1958449753,2,2,3
2490665077,4,3,4
2572811737,1,1,4
1999524538,4,2,5
3919982535,2,2,3
1916490789,3,2,5
4237219058,2,2,2
634615704,4,2,1
2657644654,2,3,1
3148087753,1,3,1
2131291756,1,2,4
2030292385,4,3,4
538125930,2,1,1
58420640,2,1,5
2294636048,1,2,2
2919046060,3,2,1
3244646704,3,2,4
4216553497,2,2,3
1514156733,2,2,1
866006998,4,1,2
2468552055,4,2,4
3716557210,1,2,5
2713706918,2,2,3
2463584207,2,1,2
1070339400,4,3,2
2318810547,2,3,4
391684704,1,3,2
4019382037,1,2,3
1125719618,4,2,3
1653624830,4,2,4
705316882,1,2,4
2682013556,2,2,4
3311925664,1,2,2
4064718683,1,2,1
2828462367,2,1,3
3721108825,2,1,3
2398101337,3,2,5
1209031431,2,1,4
1601221358,2,2,2
251854037,3,2,2
776000268,4,2,4
2983318505,3,2,3
2286894138,2,1,5
964384491,4,3,2
2270436321,4,1,1
2410791417,2,3,4
3486458358,4,2,5
