product_id,aspect,resolution,smart,colour
3834100126,6,3,1,3
3804707551,6,5,1,5
3750759042,6,3,1,1
3452805538,6,5,1,3
419522896,6,4,1,2
1176445814,6,3,1,2
1785675110,7,5,0,3
223751673,7,3,1,1
1018769594,7,5,1,5
3314346907,6,3,1,4
2383301217,7,4,0,2
2063741387,6,4,0,3
1977284448,7,5,1,4
1413887527,7,4,0,3
1625609969,7,4,1,3
3118187758,6,3,0,2
1509752422,7,5,0,3
2678377467,7,5,1,4
87921927,7,3,1,5
1935169919,7,4,0,1
1548282976,7,5,1,3
4017889972,6,3,1,3
128252080,6,5,0,1
800776954,6,5,1,2
200255997,6,3,1,2
1507590723,6,5,1,5
1438173026,6,3,1,1
3451045983,6,5,0,4
430322629,6,4,0,3
1855925279,6,4,0,3
504066886,7,4,0,2
3919049611,6,3,0,3
1479943373,7,3,1,1
1011638940,6,4,0,4
3415656365,6,3,0,2
3663959565,6,4,1,1
4050572359,6,4,1,1
953523042,7,3,0,2
1347489552,6,4,1,2
1618651662,6,4,1,1
3657636428,6,3,1,2
714534751,7,4,0,2
1511164494,6,3,0,4
2208047960,6,3,1,5
4250862512,7,3,1,4
99222753,7,4,0,3
4110414219,6,4,1,5
1032136567,6,5,1,3
3864254949,7,5,1,5
2898776510,6,3,1,5
3771072682,6,5,1,1
2164289730,7,5,1,2
1928670300,6,3,1,5
992098515,7,5,1,2
3122554196,6,5,1,2
454697641,6,5,0,3
2005032574,6,4,1,5
3441729014,6,5,1,4
444095824,7,5,1,5
1360581915,7,3,1,1
3415246729,6,4,1,1
2458581805,7,3,1,1
727174023,7,5,1,5
2897039096,6,4,1,1
304987210,6,5,1,2
1624552543,6,4,0,2
2504022550,6,5,0,1
3880975049,6,5,0,2
709130224,6,5,0,2
2088089471,7,5,0,5
1613963696,7,5,1,4
563058396,6,3,0,4
3852483877,6,5,0,1
3001449540,6,3,0,4
3209605488,6,3,0,5
4120066563,6,3,0,2
2825967522,7,4,0,5
200245930,6,4,1,5
1811018955,6,3,0,4
499161135,6,3,0,4
976397227,7,5,0,5
2944459181,6,3,1,4
640001390,6,5,0,2
2294744161,7,3,0,2
248119994,6,4,0,3
385002480,6,3,1,3
1931920644,7,3,0,1
3038120002,7,4,0,4
1555081369,6,4,0,2
1169203595,7,4,1,2
2909967313,6,3,1,1
1285511920,6,5,0,5
219761101,7,4,1,2
4105379132,7,3,1,1
2224794338,6,3,0,1
2475121912,6,3,1,3
3188837526,7,3,0,4
2295491921,7,4,1,1
2854601974,6,4,0,2
536766288,7,5,1,5
798154114,7,3,0,4
881709393,6,4,1,2
1221138653,6,3,1,2
3656294828,6,5,1,2
3162269979,7,4,0,4
1804837133,6,4,1,3
2953017825,7,3,1,3
3732790417,6,5,1,5
3301473567,6,3,1,5
3071674944,6,3,1,3
1873210705,6,5,0,1
1546291870,6,3,0,2
2743293314,7,5,0,2
3756349107,7,3,0,3
1304225109,6,3,0,1
3095402441,7,3,0,3
2188337110,7,5,0,1
4093821429,7,3,1,1
2312026382,7,3,0,5
3390339548,6,3,1,5
3574423945,6,4,0,5
2896420588,6,4,1,3
427103308,7,4,0,4
1204174375,7,4,1,4
235333804,6,5,1,2
3829860130,6,4,1,5
1100215759,7,3,0,4
4294397129,6,5,0,2
714087104,7,5,0,1
954901540,6,5,1,3
2967164308,6,5,1,3
3654551068,7,5,0,3
1970740951,7,5,1,5
3284304497,7,5,0,4
2287091770,6,3,0,5
2650404705,7,5,1,1
1106015430,7,3,1,5
4164817136,7,3,0,1
834671607,6,4,1,4
3522262706,6,3,0,4
259333867,7,4,0,4
500805203,6,3,0,3
1900688684,6,4,1,2
1233212376,6,5,0,4
3314473878,6,5,1,2
557804965,6,5,1,4
593183601,6,3,1,1
2478308658,6,3,0,4
2318958333,6,4,0,2
4088973248,6,4,0,3
576844181,6,4,1,1
2065207799,7,3,0,1
3161203036,6,4,0,4
3986866825,6,5,1,4
844224189,6,3,1,2
989503460,6,3,0,3
910832896,6,3,1,1
923302390,6,3,0,1
3369716777,6,5,0,1
1014233857,6,4,1,3
1092237138,7,4,0,4
466721341,6,5,0,4
2120739418,6,5,1,3
2769317029,6,4,1,4
1429352596,6,4,0,1
1117125246,7,3,0,5
674547383,6,4,1,3
4165637001,6,5,0,3
2875418595,6,3,0,5
925115746,6,5,1,2
890854945,6,5,1,5
2697551292,7,5,1,1
1872982412,6,3,1,3
2797936779,6,5,0,4
1871704559,6,5,0,2
924113085,7,3,0,5
2169401174,6,5,0,1
2993719020,6,3,1,4
3860277533,6,5,1,3
3576158096,7,4,0,3
1778473725,7,5,0,5
2192130672,6,3,0,3
2550469811,6,3,0,5
2935877528,7,5,0,3
1332461463,7,3,1,5
25394468,7,4,0,5
701904662,7,3,1,3
4119073163,7,3,1,3
2368842926,7,3,1,3
1235209844,6,5,0,5
3688424989,6,5,0,2
313840503,7,5,1,2
1776234469,6,5,0,5
2022002957,6,5,0,1
2088394334,6,4,0,3
1682194691,6,5,1,3
1892516597,6,3,0,4
4250624671,6,3,0,1
4002700985,7,5,0,5
444302332,7,5,0,5
53130190,7,3,1,1
3587179002,7,4,0,1
1870911920,6,3,0,5
2090455478,6,4,0,3
2274771293,6,3,0,1
3937489896,7,3,0,2
2159532811,6,3,1,4
2355707365,6,4,0,3
2048987663,6,3,0,2
3493805506,6,3,0,5
3699658205,7,5,1,5
777838712,6,5,1,1
850571228,6,5,0,5
2420648211,6,4,0,3
1681388943,7,5,0,5
1844020737,6,4,0,1
4135208489,6,4,1,4
3780101511,6,5,1,5
3920653755,6,5,0,2
3513276058,6,4,0,5
2817731679,6,3,1,3
2760279153,7,4,0,5
3501368819,6,4,1,3
2948851049,6,4,1,2
1595564739,7,5,0,1
3302926956,6,3,1,4
1483691715,7,5,0,5
440004843,6,3,1,2
1272292348,7,5,0,2
710816266,6,3,0,2
2740632312,7,3,1,3
627972879,6,5,0,2
57195002,6,5,0,2
90164108,6,5,1,1
1441656642,7,3,1,1
2846521053,6,4,1,1
1000795699,7,4,1,5
181276432,6,5,0,1
3886765883,6,4,0,4
3925185415,7,5,1,3
